exit_id,setup_id,month,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,cumulative_end_balance
fixed_30m,quality_top_leaf,2025-10,5,6,6,0,2,4,0,0.3333333333333333,79.99999999999993,-93.00000000000006,0.8602150537634395,-13.000000000000131,-2.1666666666666887,0.4621983926284677,-3.2742181540808604,99987.0,-0.013000000000000131,57.0,0.05697493103034664,25.2,99471.0
fixed_30m,quality_top_leaf,2025-11,5,11,11,0,10,1,0,0.9090909090909091,2092.0,-71.0,29.464788732394368,2021.0,183.72727272727272,36.25922784269934,19.026548672566367,102021.0,2.021,71.0,0.07100000000000001,46.2,101492.0
fixed_30m,quality_top_leaf,2025-12,5,9,9,0,4,5,0,0.4444444444444444,155.99999999999994,-125.99999999999997,1.238095238095238,29.99999999999997,3.3333333333333304,1.3774660423811171,-0.4132231404958553,100030.0,0.02999999999999997,65.0,0.06493830860682351,37.800000000000004,101522.0
fixed_30m,quality_top_leaf,2026-01,5,7,7,0,5,1,1,0.7142857142857143,185.00000000000006,-8.999999999999986,20.555555555555593,176.00000000000006,25.14285714285715,5.657913008461743,3.296703296703285,100176.0,0.17600000000000005,9.0,0.008991098812175946,29.4,101698.0
fixed_30m,quality_top_leaf,2026-02,3,6,6,0,1,5,0,0.16666666666666666,25.0,-477.0,0.05241090146750524,-452.0,-75.33333333333333,-18.85914774491043,-21.57570277823443,99548.0,-0.45199999999999996,452.0,0.45199999999999996,42.0,101246.0
fixed_30m,quality_top_leaf,2026-03,3,5,5,0,1,4,0,0.2,34.00000000000003,-167.0,0.20359281437125765,-132.99999999999994,-26.599999999999987,-5.00475930804618,-8.838383838383844,99867.0,-0.13299999999999992,133.0,0.133,35.0,101113.0
fixed_30m,quality_top_leaf,2026-04,4,6,6,0,1,5,0,0.16666666666666666,3.000000000000025,-300.0,0.010000000000000083,-297.0,-49.5,-11.782681040498089,-10.724206349206344,99703.0,-0.297,300.0,0.3,31.5,100816.0
fixed_30m,quality_top_leaf,2026-05,4,6,6,0,3,3,0,0.5,88.00000000000003,-200.00000000000006,0.44,-112.00000000000001,-18.666666666666668,-3.7141730351830105,-1.6483516483516483,99888.0,-0.11200000000000002,136.0,0.136,31.5,100704.0
fixed_60m,baseline,2025-07,5,81,81,0,31,48,2,0.38271604938271603,2005.0,-1852.9999999999998,1.0820291419320023,152.00000000000017,1.8765432098765453,1.2520435103190815,-2.298850574712652,100152.0,0.15200000000000016,829.0,0.827436145684656,340.2,100152.0
fixed_60m,baseline,2025-08,21,315,315,0,129,177,9,0.4095238095238095,5498.0,-9377.0,0.586328249973339,-3878.9999999999995,-12.314285714285713,-3.664900262678802,-2.3026315789473673,96121.0,-3.879,3879.0,3.879,315.0,96273.0
