trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T001246,underlying_invalidation_eod,8,True,True,True,False,False,False
T001263,underlying_invalidation_eod,9,True,False,True,False,False,False
T001262,underlying_invalidation_eod,9,True,False,True,False,False,False
T001261,underlying_invalidation_eod,4,True,True,True,False,False,False
T001256,underlying_invalidation_eod,5,True,False,True,False,False,False
T001265,underlying_invalidation_eod,8,True,True,True,False,False,False
T001247,underlying_invalidation_eod,5,True,False,True,False,False,False
T001251,underlying_invalidation_eod,8,True,True,True,False,False,False
T001252,underlying_invalidation_eod,8,True,True,True,False,False,False
T001248,underlying_invalidation_eod,5,True,False,True,False,False,False
T001250,underlying_invalidation_eod,9,True,False,True,False,False,False
T001255,underlying_invalidation_eod,8,True,True,True,False,False,False
T001257,underlying_invalidation_eod,8,True,True,True,False,False,False
T001260,underlying_invalidation_eod,4,True,True,True,False,False,False
T001264,underlying_invalidation_eod,11,True,True,True,False,False,False
T001266,underlying_invalidation_eod,5,True,False,True,False,False,False
T001282,underlying_invalidation_eod,9,True,False,True,False,False,False
T001274,underlying_invalidation_eod,9,True,False,True,False,False,False
T001278,underlying_invalidation_eod,8,True,True,True,False,False,False
T001269,underlying_invalidation_eod,9,True,False,True,False,False,False
T001270,underlying_invalidation_eod,9,True,False,True,False,False,False
T001279,underlying_invalidation_eod,8,True,True,True,False,False,False
T001275,underlying_invalidation_eod,8,True,True,True,False,False,False
T001276,underlying_invalidation_eod,8,True,True,True,False,False,False
T001280,underlying_invalidation_eod,8,True,True,True,False,False,False
T001284,underlying_invalidation_eod,8,True,True,True,False,False,False
T001271,underlying_invalidation_eod,8,True,True,True,False,False,False
T001268,underlying_invalidation_eod,8,True,True,True,False,False,False
T001277,underlying_invalidation_eod,5,True,False,True,False,False,False
T001272,underlying_invalidation_eod,5,True,False,True,False,False,False
T001281,underlying_invalidation_eod,5,True,False,True,False,False,False
T001286,underlying_invalidation_eod,9,True,False,True,False,False,False
T001285,underlying_invalidation_eod,8,True,True,True,False,False,False
T001273,underlying_invalidation_eod,9,True,False,True,False,False,False
T001283,underlying_invalidation_eod,9,True,False,True,False,False,False
T001267,underlying_invalidation_eod,9,True,False,True,False,False,False
T001300,underlying_invalidation_eod,5,True,False,True,False,False,False
T001295,underlying_invalidation_eod,8,True,True,True,False,False,False
T001305,underlying_invalidation_eod,9,True,False,True,False,False,False
T001291,underlying_invalidation_eod,9,True,False,True,False,False,False
T001287,underlying_invalidation_eod,11,True,True,True,False,False,False
T001288,underlying_invalidation_eod,8,True,True,True,False,False,False
T001306,underlying_invalidation_eod,8,True,True,True,False,False,False
T001289,underlying_invalidation_eod,8,True,True,True,False,False,False
T001307,underlying_invalidation_eod,5,True,False,True,False,False,False
T001292,underlying_invalidation_eod,5,True,False,True,False,False,False
T001297,underlying_invalidation_eod,5,True,False,True,False,False,False
T001302,underlying_invalidation_eod,5,True,False,True,False,False,False
T001303,underlying_invalidation_eod,2,True,True,False,True,True,False
T001293,underlying_invalidation_eod,8,True,True,True,False,False,False
T001298,underlying_invalidation_eod,8,True,True,True,False,False,False
T001294,underlying_invalidation_eod,2,True,True,False,True,True,False
T001309,underlying_invalidation_eod,8,True,True,True,False,False,False
T001299,underlying_invalidation_eod,8,True,True,True,False,False,False
T001308,underlying_invalidation_eod,8,True,True,True,False,False,False
T001304,underlying_invalidation_eod,8,True,True,True,False,False,False
T001301,underlying_invalidation_eod,8,True,True,True,False,False,False
T001296,underlying_invalidation_eod,8,True,True,True,False,False,False
T001290,underlying_invalidation_eod,8,True,True,True,False,False,False
T001315,underlying_invalidation_eod,8,True,True,True,False,False,False
T001320,underlying_invalidation_eod,11,True,True,True,False,False,False
T001325,underlying_invalidation_eod,9,True,False,True,False,False,False
T001310,underlying_invalidation_eod,8,True,True,True,False,False,False
T001314,underlying_invalidation_eod,12,True,True,False,True,True,True
T001317,underlying_invalidation_eod,12,True,True,False,True,True,True
T001322,underlying_invalidation_eod,11,True,True,True,False,False,False
T001327,underlying_invalidation_eod,12,True,True,False,True,True,True
T001319,underlying_invalidation_eod,2,True,True,False,True,True,False
T001329,underlying_invalidation_eod,9,True,False,True,False,False,False
