exit_id,setup_id,symbol,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions
fixed_15m,exclusion,TSLA,142,221,221,0,90,125,6,0.4072398190045249,6819.000000000001,-7601.000000000001,0.8971188001578739,-782.0000000000002,-3.5384615384615397,-0.730404601050484,-1.041666666666663,99218.0,-0.7820000000000003,1563.0,1.5535852732441406,32.683098591549296
fixed_15m,combined,AAPL,114,180,180,0,80,94,6,0.4444444444444444,1783.0000000000002,-2083.0,0.8559769563130102,-299.9999999999998,-1.6666666666666654,0.6500787106174906,-0.8605374194981086,99700.0,-0.29999999999999977,445.0,0.44456876829475406,33.1578947368421
fixed_15m,combined,NVDA,145,221,221,0,96,114,11,0.4343891402714932,3026.0000000000005,-2837.0,1.0666196686640819,189.0000000000003,0.8552036199095037,0.39513732020116266,-0.7042253521126751,100189.0,0.18900000000000033,493.0,0.49042038875514793,32.00689655172414
fixed_15m,combined,QQQ,167,346,346,0,175,166,5,0.5057803468208093,6677.0,-6856.0,0.9738914819136523,-178.99999999999955,-0.5173410404624265,0.07797589110505473,0.2078229099505613,99821.0,-0.17899999999999955,1837.0,1.807643863654255,43.50898203592815
fixed_15m,combined,SPY,180,363,363,0,193,167,3,0.5316804407713499,6199.0,-6141.0,1.009444715844325,58.00000000000057,0.15977961432507043,0.4787691541589725,1.1278195488721776,100058.0,0.058000000000000565,1073.0,1.062639267145333,42.35
fixed_15m,combined,TSLA,142,221,221,0,90,125,6,0.4072398190045249,6819.000000000001,-7601.000000000001,0.8971188001578739,-782.0000000000002,-3.5384615384615397,-0.730404601050484,-1.041666666666663,99218.0,-0.7820000000000003,1563.0,1.5535852732441406,32.683098591549296
fixed_15m,quality_top_leaf,AAPL,2,2,2,0,2,0,0,1.0,18.000000000000014,0.0,inf,18.000000000000014,9.000000000000007,3.107497415927507,3.107497415927507,100018.0,0.018000000000000016,0.0,0.0,21.0
fixed_15m,quality_top_leaf,NVDA,15,15,15,0,7,8,0,0.4666666666666667,99.99999999999997,-135.00000000000003,0.7407407407407404,-35.00000000000008,-2.3333333333333384,-1.4867040933646767,-0.4184100418410108,99965.0,-0.03500000000000007,74.0,0.0739711512510121,21.0
fixed_15m,quality_top_leaf,QQQ,96,126,126,0,70,55,1,0.5555555555555556,2262.0,-1936.0000000000002,1.168388429752066,326.0,2.5873015873015874,0.6007562111416218,0.943262411347523,100326.0,0.326,650.0,0.6438703542277517,27.5625
fixed_15m,quality_top_leaf,SPY,104,134,134,0,79,54,1,0.5895522388059702,2318.0,-1428.9999999999995,1.6221133659902034,889.0000000000003,6.634328358208958,2.422017117902482,1.9091283991946373,100889.0,0.8890000000000003,446.0,0.4408900839272828,27.05769230769231
