exit_id,split,feature,category,winner_count,loser_count,category_count,category_win_rate,winner_share_in_category,loser_share_in_category,odds_ratio_category_vs_rest,cramers_v_feature,chi_square_p_feature,bh_q_within_exit_split
pt20_sl10_eod,heldout,entry_slot,11:30,65,163,228,0.2850877192982456,0.17150395778364116,0.20632911392405062,0.7993125343368193,0.0831854636010731,0.08836227409338845,0.22090568523347115
pt20_sl10_eod,heldout,entry_slot,12:30,72,157,229,0.314410480349345,0.18997361477572558,0.19873417721518988,0.9483288166214996,0.0831854636010731,0.08836227409338845,0.22090568523347115
pt20_sl10_eod,heldout,entry_slot,13:30,72,166,238,0.3025210084033613,0.18997361477572558,0.21012658227848102,0.8843233477379819,0.0831854636010731,0.08836227409338845,0.22090568523347115
pt20_sl10_eod,heldout,entry_slot,14:30,95,144,239,0.39748953974895396,0.25065963060686014,0.18227848101265823,1.50183348435001,0.0831854636010731,0.08836227409338845,0.22090568523347115
pt20_sl10_eod,heldout,weekday,Friday,72,156,228,0.3157894736842105,0.18997361477572558,0.19746835443037974,0.9558949583106054,0.07388937158451261,0.1723579614346232,0.28726326905770533
pt20_sl10_eod,heldout,weekday,Monday,86,139,225,0.38222222222222224,0.22691292875989447,0.1759493670886076,1.376411252160002,0.07388937158451261,0.1723579614346232,0.28726326905770533
pt20_sl10_eod,heldout,weekday,Thursday,75,156,231,0.3246753246753247,0.19788918205804748,0.19746835443037974,1.005256614048065,0.07388937158451261,0.1723579614346232,0.28726326905770533
pt20_sl10_eod,heldout,weekday,Tuesday,81,166,247,0.32793522267206476,0.21372031662269128,0.21012658227848102,1.0240743255818632,0.07388937158451261,0.1723579614346232,0.28726326905770533
pt20_sl10_eod,heldout,weekday,Wednesday,65,173,238,0.27310924369747897,0.17150395778364116,0.2189873417721519,0.7412387807370008,0.07388937158451261,0.1723579614346232,0.28726326905770533
pt20_sl10_eod,heldout,dte_category,1,84,174,258,0.32558139534883723,0.22163588390501318,0.22025316455696203,1.0102686428228587,0.024887089885569792,0.8675353842067477,0.8675353842067477
pt20_sl10_eod,heldout,dte_category,2,88,200,288,0.3055555555555556,0.23218997361477572,0.25316455696202533,0.8941497029296399,0.024887089885569792,0.8675353842067477,0.8675353842067477
pt20_sl10_eod,heldout,dte_category,3,107,220,327,0.327217125382263,0.28232189973614774,0.27848101265822783,1.020678607834571,0.024887089885569792,0.8675353842067477,0.8675353842067477
pt20_sl10_eod,heldout,dte_category,4,100,196,296,0.33783783783783783,0.2638522427440633,0.2481012658227848,1.087861366398558,0.024887089885569792,0.8675353842067477,0.8675353842067477
pt20_sl10_eod,heldout,right,call,202,405,607,0.33278418451400327,0.5329815303430079,0.5126582278481012,1.0845765096125457,0.017211016266561678,0.556226463392248,0.69528307924031
pt20_sl10_eod,heldout,right,put,177,385,562,0.31494661921708184,0.46701846965699206,0.4873417721518987,0.9220188627884262,0.017211016266561678,0.556226463392248,0.69528307924031
pt20_sl10_eod,train,weekday,Friday,55,190,245,0.22448979591836735,0.07343124165554073,0.12163892445582586,0.5757555143620007,0.08536090684768086,0.0020771733830494193,0.010385866915247097
pt20_sl10_eod,train,weekday,Monday,173,359,532,0.325187969924812,0.23097463284379172,0.22983354673495518,1.0075053648521666,0.08536090684768086,0.0020771733830494193,0.010385866915247097
pt20_sl10_eod,train,weekday,Thursday,142,296,438,0.3242009132420091,0.18958611481975968,0.18950064020486557,1.0019569879041492,0.08536090684768086,0.0020771733830494193,0.010385866915247097
pt20_sl10_eod,train,weekday,Tuesday,211,358,569,0.37082601054481545,0.2817089452603471,0.22919334186939821,1.3196000046619503,0.08536090684768086,0.0020771733830494193,0.010385866915247097
pt20_sl10_eod,train,weekday,Wednesday,168,359,527,0.3187855787476281,0.22429906542056074,0.22983354673495518,0.9700572951110803,0.08536090684768086,0.0020771733830494193,0.010385866915247097
pt20_sl10_eod,train,symbol,AAPL,123,268,391,0.3145780051150895,0.16421895861148197,0.17157490396927016,0.9503939149393411,0.02920449649296676,0.7410822888454854,0.7719070563996773
pt20_sl10_eod,train,symbol,NVDA,139,255,394,0.35279187817258884,0.1855807743658211,0.16325224071702946,1.169336032349731,0.02920449649296676,0.7410822888454854,0.7719070563996773
pt20_sl10_eod,train,symbol,QQQ,164,360,524,0.31297709923664124,0.21895861148197596,0.23047375160051217,0.937170951721622,0.02920449649296676,0.7410822888454854,0.7719070563996773
pt20_sl10_eod,train,symbol,SPY,158,329,487,0.324435318275154,0.2109479305740988,0.21062740076824585,1.0031323876310452,0.02920449649296676,0.7410822888454854,0.7719070563996773
pt20_sl10_eod,train,symbol,TSLA,165,350,515,0.32038834951456313,0.22029372496662217,0.22407170294494239,0.9795062412367033,0.02920449649296676,0.7410822888454854,0.7719070563996773
pt20_sl10_eod,train,entry_slot,10:30,148,328,476,0.31092436974789917,0.19759679572763686,0.20998719590268886,0.9277832815222219,0.029106738646438885,0.7435050420266271,0.7719070563996773
pt20_sl10_eod,train,entry_slot,11:30,148,320,468,0.3162393162393162,0.19759679572763686,0.20486555697823303,0.9571041195762544,0.029106738646438885,0.7435050420266271,0.7719070563996773
pt20_sl10_eod,train,entry_slot,12:30,153,304,457,0.3347921225382932,0.20427236315086783,0.1946222791293214,1.0635645534914258,0.029106738646438885,0.7435050420266271,0.7719070563996773
pt20_sl10_eod,train,entry_slot,13:30,158,299,457,0.34573304157549234,0.2109479305740988,0.1914212548015365,1.1304541099070442,0.029106738646438885,0.7435050420266271,0.7719070563996773
pt20_sl10_eod,train,entry_slot,14:30,142,311,453,0.31346578366445915,0.18958611481975968,0.19910371318822023,0.9424132532746765,0.029106738646438885,0.7435050420266271,0.7719070563996773
pt20_sl10_eod,train,dte_category,1,144,311,455,0.31648351648351647,0.19225634178905207,0.19910371318822023,0.9587966380940893,0.028288608085136994,0.6042514937819479,0.7719070563996773
pt20_sl10_eod,train,dte_category,2,184,388,572,0.32167832167832167,0.24566088117489987,0.24839948783610755,0.9863379863379863,0.028288608085136994,0.6042514937819479,0.7719070563996773
pt20_sl10_eod,train,dte_category,3,213,404,617,0.34521880064829824,0.28437917222963954,0.2586427656850192,1.1397396714731867,0.028288608085136994,0.6042514937819479,0.7719070563996773
pt20_sl10_eod,train,dte_category,4,208,459,667,0.3118440779610195,0.27770360480640854,0.293854033290653,0.9246862933635561,0.028288608085136994,0.6042514937819479,0.7719070563996773
pt20_sl10_eod,train,right,call,391,827,1218,0.32101806239737274,0.5220293724966623,0.529449423815621,0.9706379805079068,0.006030040254327023,0.7719070563996773,0.7719070563996773
pt20_sl10_eod,train,right,put,358,735,1093,0.3275388838060384,0.4779706275033378,0.470550576184379,1.0302502272543765,0.006030040254327023,0.7719070563996773,0.7719070563996773
pt40_sl20_eod,full,weekday,Friday,161,311,472,0.3411016949152542,0.12356101304681504,0.1437817845584836,0.8406524510819744,0.08120257859379626,0.00013540055881616428,0.0006770027940808214
pt40_sl20_eod,full,weekday,Monday,300,452,752,0.39893617021276595,0.23023791250959325,0.20896902450300509,1.1326231119259387,0.08120257859379626,0.00013540055881616428,0.0006770027940808214
pt40_sl20_eod,full,weekday,Thursday,221,445,666,0.33183183183183185,0.1696085955487337,0.20573277854831254,0.7893100883093185,0.08120257859379626,0.00013540055881616428,0.0006770027940808214
pt40_sl20_eod,full,weekday,Tuesday,353,462,815,0.4331288343558282,0.2709132770529547,0.21359223300970873,1.3682249740534853,0.08120257859379626,0.00013540055881616428,0.0006770027940808214
pt40_sl20_eod,full,weekday,Wednesday,268,493,761,0.35216819973718794,0.2056792018419033,0.22792417938049006,0.8777149784474851,0.08120257859379626,0.00013540055881616428,0.0006770027940808214
pt40_sl20_eod,full,dte_category,1,260,452,712,0.3651685393258427,0.1995395241749808,0.20896902450300509,0.9442208674059622,0.06285128119080638,0.003356329704497723,0.008390824261244307
